code,faction,name,folder,unitgroup,buildtime,metalcost,energycost,health,speed,maxacc,maxdec,maxslope,maxwaterdepth,sightdistance,turnrate,turninplace,canmove,techlevel,n_weapons,best_dps,total_dps,max_range,min_range,max_aoe,has_aa,has_anti_sub,has_paralyzer,wt_cannon,wt_beamlaser,wt_lasercannon,wt_missilelauncher,wt_starburstlauncher,wt_torpedolauncher,wt_emgcannon,wt_aircraftbomb,wt_flame,wt_dgun,wt_shield,wt_other
armkam,Armada,Banshee,ArmAircraft,weapon,5050.0,135.0,2300.0,560.0,184.8,0.15,0.375,10.0,0,520.0,1400.0,0,1,1,1,12.86,12.86,350.0,350.0,40.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
armlance,Armada,Cormorant,ArmAircraft,sub,19000.0,400.0,8000.0,1920.0,285.0,0.1325,0.075,10.0,0,500.0,0,0,1,2,1,62.5,62.5,400.0,400.0,16.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
armliche,Armada,Liche,ArmAircraft,weapon,73000.0,2200.0,46000.0,2300.0,294.89999,0.1075,0.05,10.0,0,455.0,0,0,1,2,1,625.0,625.0,250.0,250.0,256.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
armpeep,Armada,Blink,ArmAircraft,util,2800.0,52.0,1550.0,89.0,375.0,0.1825,0.01125,10.0,0,865.0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armpnix,Armada,Blizzard,ArmAircraft,weapon,25000.0,230.0,12500.0,1130.0,258.0,0.0525,0.045,10.0,0,430.0,0,0,1,2,1,38.0,38.0,1280.0,1280.0,168.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
armstil,Armada,Stiletto,ArmAircraft,emp,39000.0,460.0,38000.0,1880.0,300.0,0.1575,0.04,15.0,0,430.0,0,0,1,2,1,857.14,857.14,1280.0,1280.0,200.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
armthund,Armada,Stormbringer,ArmAircraft,weapon,4780.0,145.0,4200.0,670.0,250.0,0.0575,0.05,10.0,0,430.0,0,0,1,1,1,17.5,17.5,1280.0,1280.0,144.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
armaak,Armada,Archangel,ArmBots,aa,10000.0,520.0,5600.0,2200.0,47.4,0.138,0.6486,14.0,0,400.0,1174.15002,1,1,2,2,142.86,242.86,1200.0,880.0,24.0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
armack,Armada,Advanced Construction Bot,ArmBots,buildert2,12500.0,430.0,6900.0,930.0,33.0,0.4968,3.105,20.0,25.0,323.70001,1138.5,1,1,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armamph,Armada,Platypus,ArmBots,weaponaa,7000.0,260.0,2700.0,1170.0,90.0,0.138,0.6486,14.0,0,377.0,506.0,1,1,2,2,109.09,151.95,600.0,275.0,48.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
armaser,Armada,Smuggler,ArmBots,util,6000.0,78.0,1400.0,340.0,48.3,0.138,0.5175,32.0,112.0,260.0,1201.75,1,1,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armck,Armada,Construction Bot,ArmBots,builder,3450.0,110.0,1600.0,690.0,36.0,0.552,3.45,20.0,25.0,305.0,1265.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armdecom,Armada,Commander,ArmBots,buildert2,30000.0,770.0,12000.0,3700.0,37.5,0.18,1.125,20.0,35.0,450.0,1148.0,0,1,2,3,187.5,294.44,300.0,250.0,36.0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0
armfark,Armada,Butler,ArmBots,buildert2,6000.0,210.0,3000.0,335.0,75.0,0.4968,5.175,14.0,22.0,377.0,1265.0,1,1,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armfast,Armada,Sprinter,ArmBots,weapon,5000.0,160.0,3800.0,690.0,111.3,0.414,1.29375,17.0,12.0,351.0,1644.5,1,1,2,1,24.0,24.0,220.0,220.0,16.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
armfboy,Armada,Fatboy,ArmBots,weapon,28000.0,1400.0,15000.0,7800.0,30.0,0.138,0.43125,20.0,25.0,510.0,368.0,1,1,2,1,114.29,114.29,700.0,700.0,300.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
armfido,Armada,Hound,ArmBots,weapon,6230.0,285.0,6300.0,1280.0,69.0,0.138,1.29375,14.0,12.0,400.0,1138.5,1,1,2,1,80.53,80.53,650.0,650.0,72.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
armflea,Armada,Tick,ArmBots,weapon,800.0,21.0,300.0,60.0,132.0,0.575,1.725,255.0,16.0,600.0,1807.0,1,1,1,1,40.0,40.0,140.0,140.0,8.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
armham,Armada,Mace,ArmBots,weapon,2200.0,130.0,1300.0,1000.0,46.2,0.138,0.77625,14.0,12.0,380.0,1258.09998,1,1,1,1,60.0,60.0,380.0,380.0,36.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
armjeth,Armada,Crossbow,ArmBots,aa,1830.0,125.0,1100.0,630.0,56.25,0.138,0.6486,15.0,0,377.0,1285.69995,1,1,1,2,55.0,55.0,800.0,760.0,48.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
armmark,Armada,Compass,ArmBots,util,5000.0,100.0,1250.0,355.0,40.5,0.05175,0.0621,16.0,0,900.0,580.75,1,1,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armmav,Armada,Gunslinger,ArmBots,weapon,17000.0,650.0,11000.0,1560.0,49.5,0.138,0.43125,14.0,0,550.0,1285.69995,1,1,2,1,265.0,265.0,365.0,365.0,8.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
armpw,Armada,Pawn,ArmBots,weapon,1650.0,54.0,900.0,370.0,87.0,0.414,0.69,17.0,12.0,429.0,1214.40002,1,1,1,1,30.0,30.0,180.0,180.0,8.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
armrectr,Armada,Lazarus,ArmBots,builder,2800.0,130.0,1400.0,220.0,78.0,0.23,0.8625,14.0,22.0,430.0,1290.29993,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armrock,Armada,Rocketeer,ArmBots,weapon,2010.0,120.0,1000.0,720.0,50.7,0.138,0.6486,14.0,12.0,338.0,1271.90002,1,1,1,1,41.32,41.32,475.0,475.0,48.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
armscab,Armada,Umbrella,ArmBots,antinuke,49000.0,1150.0,30000.0,870.0,51.0,0.03663,0.07326,10.0,0,450.0,473.0,1,1,2,1,250.0,250.0,72000.0,72000.0,420.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
armsnipe,Armada,Sharpshooter,ArmBots,weapon,24000.0,680.0,20000.0,580.0,33.0,0.138,0.6486,14.0,22.0,455.0,1538.69995,1,1,2,1,250.0,250.0,900.0,900.0,16.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
armspid,Armada,Webber,ArmBots,emp,7000.0,250.0,5000.0,1110.0,71.55,0.207,0.6486,0,16.0,550.0,1290.29993,1,1,2,1,490.39,490.39,280.0,280.0,8.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
armsptk,Armada,Recluse,ArmBots,weapon,11500.0,400.0,4500.0,1390.0,47.0,0.207,0.6486,0,12.0,440.0,1290.0,1,1,2,1,53.33,53.33,575.0,575.0,90.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
armspy,Armada,Ghost,ArmBots,buildert2,12000.0,135.0,8800.0,300.0,65.4,0.276,0.69,32.0,112.0,550.0,1581.25,1,1,2,1,0.0,0.0,100.0,100.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
armvader,Armada,Tumbleweed,ArmBots,explo,7900.0,65.0,5800.0,445.0,84.0,0.1518,0.5589,32.0,112.0,273.0,1771.0,1,1,2,2,10000.0,10000.0,42.0,1.0,5.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
armwar,Armada,Centurion,ArmBots,weapon,4200.0,270.0,3100.0,1590.0,45.0,0.0828,0.8211,17.0,12.0,350.0,885.5,1,1,1,1,183.33,183.33,330.0,330.0,8.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
armzeus,Armada,Welder,ArmBots,weapon,9500.0,350.0,6100.0,2950.0,47.4,0.138,0.8625,15.0,23.0,331.5,1214.40002,1,1,2,1,12.94,12.94,280.0,280.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
armaap,Armada,Advanced Aircraft Plant,ArmBuildings,buildert2,32000.0,2900.0,29000.0,3750.0,0,0,0,15.0,0,312.0,0,0,1,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armadvsol,Armada,Advanced Solar Collector,ArmBuildings,energy,7950.0,350.0,5000.0,1130.0,0,0,0,10.0,0,260.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armafus,Armada,Advanced Fusion Reactor,ArmBuildings,energy,312500.0,9700.0,69000.0,7900.0,0,0,0,13.0,0,273.0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armageo,Armada,Advanced Geothermal Powerplant,ArmBuildings,energy,50000.0,1600.0,27000.0,3600.0,0,0,0,15.0,5.0,273.0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armalab,Armada,Advanced Bot Lab,ArmBuildings,buildert2,25000.0,2600.0,15000.0,4250.0,0,0,0,15.0,0,286.0,0,0,1,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armamb,Armada,Rattlesnake,ArmBuildings,weapon,27000.0,2500.0,17000.0,4000.0,0,0,0,10.0,0,442.0,0,0,0,2,3,194.44,388.89,1380.0,1380.0,152.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
armamd,Armada,Citadel,ArmBuildings,antinuke,60000.0,1500.0,38000.0,3300.0,0,0,0,10.0,0,201.0,0,0,0,2,1,750.0,750.0,72000.0,72000.0,420.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
armamex,Armada,Twilight,ArmBuildings,metal,1800.0,200.0,1500.0,1610.0,0,0,0,30.0,20.0,286.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armamsub,Armada,Amphibious Complex,ArmBuildings,builder,11100.0,1200.0,5500.0,2650.0,0,0,0,10.0,0,234.0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armanni,Armada,Pulsar,ArmBuildings,weapon,52000.0,3500.0,74000.0,6100.0,0,0,0,10.0,0,780.0,0,0,0,2,1,1090.91,1090.91,1400.0,1400.0,16.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
armap,Armada,Aircraft Plant,ArmBuildings,builder,5450.0,650.0,1100.0,2050.0,0,0,0,15.0,0,292.0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armarad,Armada,Advanced Radar Tower,ArmBuildings,util,8000.0,400.0,14000.0,355.0,0,0,0,10.0,0,820.0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armason,Armada,Advanced Sonar Station,ArmBuildings,util,6150.0,170.0,2600.0,2350.0,0,0,0,10.0,0,215.0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armasy,Armada,Advanced Shipyard,ArmBuildings,buildert2,24000.0,2900.0,9700.0,6000.0,0,0,0,0,0,299.0,0,0,1,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armatl,Armada,Moray,ArmBuildings,sub,9260.0,1000.0,8500.0,2800.0,0,0,0,0,0,585.0,0,0,0,2,1,360.11,360.11,915.0,915.0,32.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
armavp,Armada,Advanced Vehicle Plant,ArmBuildings,buildert2,27000.0,2600.0,14000.0,4750.0,0,0,0,15.0,0,283.39999,0,0,1,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armbeamer,Armada,Beamer,ArmBuildings,weapon,4800.0,190.0,1500.0,1430.0,0,0,0,10.0,0,475.0,0,0,0,1,1,400.0,400.0,490.0,490.0,8.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
armbrtha,Armada,Basilica,ArmBuildings,weapon,85000.0,4500.0,64000.0,4450.0,0,0,0,12.0,0,273.0,0,0,0,2,1,123.11,123.11,4650.0,4650.0,135.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
armcir,Armada,Chainsaw,ArmBuildings,aa,12000.0,750.0,7300.0,4450.0,0,0,0,10.0,0,380.0,0,0,0,1,1,156.25,156.25,1125.0,1125.0,48.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
armckfus,Armada,Cloakable Fusion Reactor,ArmBuildings,energy,65000.0,3650.0,22000.0,3800.0,0,0,0,10.0,0,273.0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armclaw,Armada,Dragon's Claw,ArmBuildings,weapon,4650.0,340.0,1600.0,1330.0,0,0,0,18.0,0,440.0,0,0,0,1,1,23.82,23.82,430.0,430.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
armdf,Armada,Decoy Fusion Reactor,ArmBuildings,util,7500.0,270.0,100.0,3800.0,0,0,0,10.0,0,210.0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armdl,Armada,Anemone,ArmBuildings,sub,6000.0,240.0,2200.0,2200.0,0,0,0,15.0,0,617.0,0,0,0,1,1,150.0,150.0,600.0,600.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
armdrag,Armada,Dragon's Teeth,ArmBuildings,util,255.0,8.0,0,2800.0,0,0,0,64.0,0,1.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armemp,Armada,Paralyzer,ArmBuildings,emp,79300.0,1600.0,29000.0,3350.0,0,0,0,10.0,0,455.0,0,0,0,2,1,25000.0,25000.0,3650.0,3650.0,312.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
armestor,Armada,Energy Storage,ArmBuildings,energy,4110.0,170.0,1700.0,1890.0,0,0,0,10.0,0,273.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armeyes,Armada,Beholder,ArmBuildings,util,750.0,32.0,850.0,280.0,0,0,0,24.0,0,560.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armfatf,Armada,Naval Pinpointer,ArmBuildings,util,9880.0,800.0,7300.0,1610.0,0,0,0,10.0,0,273.0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armfdrag,Armada,Shark's Teeth,ArmBuildings,,370.0,15.0,0,4450.0,0,0,0,32.0,0,1.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armferret,Armada,Ferret,ArmBuildings,aa,5800.0,360.0,5700.0,1330.0,0,0,0,10.0,0,375.0,0,0,0,1,1,88.24,88.24,840.0,840.0,16.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
armfflak,Armada,Naval Arbalest,ArmBuildings,aa,21900.0,850.0,23000.0,1920.0,0,0,0,0,0,550.0,0,0,0,2,1,468.75,468.75,775.0,775.0,192.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
armfhlt,Armada,Manta,ArmBuildings,weapon,9670.0,470.0,6200.0,4250.0,0,0,0,0,0,630.0,0,0,0,1,1,333.33,333.33,630.0,630.0,8.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
armfhp,Armada,Naval Hovercraft Platform,ArmBuildings,builder,8700.0,670.0,2000.0,3350.0,0,0,0,0,0,286.0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armflak,Armada,Arbalest,ArmBuildings,aa,19000.0,820.0,13000.0,1750.0,0,0,0,10.0,0,525.0,0,0,0,2,1,468.75,468.75,775.0,775.0,172.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
armfmine3,Armada,Heavy Mine,ArmBuildings,explo,400.0,32.0,1600.0,11.0,0,0,0,40.0,0,78.0,0,0,0,1,1,0.0,0.0,64.0,64.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
armfmkr,Armada,Naval Energy Converter,ArmBuildings,metal,2600.0,1.0,1150.0,167.0,0,0,0,10.0,0,273.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armfort,Armada,Fortification Wall,ArmBuildings,util,900.0,40.0,500.0,8900.0,0,0,0,24.0,0,1.0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armfrad,Armada,Naval Radar / Sonar Tower,ArmBuildings,util,1800.0,130.0,1000.0,110.0,0,0,0,10.0,0,760.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armfrt,Armada,Naval Nettle,ArmBuildings,aa,2200.0,90.0,1000.0,380.0,0,0,0,0,0,468.0,0,0,0,1,1,95.83,95.83,765.0,765.0,64.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
armfus,Armada,Fusion Reactor,ArmBuildings,energy,54000.0,3350.0,18000.0,3800.0,0,0,0,10.0,0,273.0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armgate,Armada,Keeper,ArmBuildings,util,55000.0,3000.0,54000.0,3550.0,0,0,0,10.0,0,273.0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
armgeo,Armada,Geothermal Powerplant,ArmBuildings,energy,13100.0,560.0,13000.0,1940.0,0,0,0,20.0,5.0,273.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armgmm,Armada,Prude,ArmBuildings,energy,41500.0,1150.0,25000.0,13900.0,0,0,0,10.0,0,273.0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armguard,Armada,Gauntlet,ArmBuildings,weapon,19300.0,1250.0,12500.0,3050.0,0,0,0,10.0,0,455.0,0,0,0,1,3,105.26,210.53,1220.0,1220.0,100.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
armhlt,Armada,Overwatch,ArmBuildings,weapon,11300.0,440.0,4700.0,2600.0,0,0,0,10.0,0,494.0,0,0,0,1,1,322.5,322.5,620.0,620.0,14.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
armhp,Armada,Hovercraft Platform,ArmBuildings,builder,8700.0,670.0,2000.0,3350.0,0,0,0,15.0,0,286.0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armjamt,Armada,Sneaky Pete,ArmBuildings,util,9950.0,240.0,8500.0,790.0,0,0,0,10.0,0,195.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armjuno,Armada,Juno,ArmBuildings,weapon,21800.0,640.0,17000.0,2350.0,0,0,0,10.0,0,494.0,0,0,0,1,1,0.5,0.5,32000.0,32000.0,1400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
armkraken,Armada,Gorgon,ArmBuildings,weapon,20000.0,1000.0,13000.0,4450.0,0,0,0,0,0,700.0,0,0,0,2,1,514.29,514.29,800.0,800.0,12.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
armlab,Armada,Bot Lab,ArmBuildings,builder,5000.0,500.0,950.0,2900.0,0,0,0,15.0,0,290.0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armllt,Armada,Sentry,ArmBuildings,weapon,2400.0,85.0,680.0,620.0,0,0,0,14.0,0,494.0,0,0,0,1,1,241.07,241.07,430.0,430.0,12.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
armmakr,Armada,Energy Converter,ArmBuildings,metal,2600.0,1.0,1150.0,167.0,0,0,0,10.0,0,273.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armmercury,Armada,Mercury,ArmBuildings,aa,28000.0,1600.0,33000.0,1670.0,0,0,0,20.0,0,600.0,0,0,0,2,1,416.67,416.67,2400.0,2400.0,425.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
armmex,Armada,Metal Extractor,ArmBuildings,metal,1800.0,50.0,500.0,270.0,0,0,0,30.0,0,273.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armmine1,Armada,Light Mine,ArmBuildings,explo,100.0,7.0,270.0,11.0,0,0,0,40.0,0,83.2,0,0,0,1,1,0.0,0.0,64.0,64.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
armmine2,Armada,Medium Mine,ArmBuildings,explo,300.0,25.0,1050.0,11.0,0,0,0,40.0,0,83.2,0,0,0,1,1,0.0,0.0,64.0,64.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
armmine3,Armada,Heavy Mine,ArmBuildings,explo,700.0,50.0,2800.0,11.0,0,0,0,40.0,0,83.2,0,0,0,1,1,0.0,0.0,64.0,64.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
armmmkr,Armada,Advanced Energy Converter,ArmBuildings,metal,35000.0,380.0,21000.0,445.0,0,0,0,10.0,0,273.0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armmoho,Armada,Advanced Metal Extractor,ArmBuildings,metal,14900.0,620.0,7700.0,2800.0,0,0,0,30.0,20.0,273.0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armmstor,Armada,Metal Storage,ArmBuildings,metal,2920.0,330.0,570.0,2100.0,0,0,0,10.0,0,273.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armnanotc,Armada,Construction Turret,ArmBuildings,builder,5300.0,230.0,3200.0,560.0,0,0,4.5,10.0,0,380.0,1.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armnanotcplat,Armada,Naval Construction Turret,ArmBuildings,builder,5300.0,230.0,3200.0,560.0,0,0,4.5,10.0,50000000.0,380.0,1.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armpb,Armada,Pit Bull,ArmBuildings,weapon,15000.0,680.0,14000.0,2800.0,0,0,0,10.0,0,598.0,0,0,0,2,1,421.88,421.88,730.0,730.0,24.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
armplat,Armada,Seaplane Platform,ArmBuildings,builder,12000.0,1450.0,5000.0,2000.0,0,0,0,0,0,169.0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
