code,faction,name,folder,unitgroup,movementclass,buildtime,metalcost,energycost,health,speed,maxacc,maxdec,maxslope,maxwaterdepth,sightdistance,turnrate,turninplace,canmove,techlevel,mc_BOT,mc_ABOT,mc_TANK,mc_ATANK,mc_HOVER,mc_COMMANDER,mc_OTHER,n_weapons,best_dps,total_dps,max_range,min_range,max_aoe,has_aa,has_anti_sub,has_paralyzer,weapon_velocity,damage_vs_air,trajectory_high,wt_cannon,wt_beamlaser,wt_lasercannon,wt_missilelauncher,wt_starburstlauncher,wt_torpedolauncher,wt_emgcannon,wt_aircraftbomb,wt_flame,wt_dgun,wt_shield,wt_other,range_per_speed,dps_per_metal,health_per_metal,range_tier,weapon_velocity_low
armrock,Armada,Rocketeer,ArmBots,weapon,BOT2,2010.0,120.0,1000.0,720.0,50.7,0.138,0.6486,14.0,12.0,338.0,1271.90002,1,1,1,1,0,0,0,0,0,0,1,41.32,41.32,475.0,475.0,48.0,0,0,0,190.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.369,0.3443,6.0,1,1
armscab,Armada,Umbrella,ArmBots,antinuke,TBOT3,49000.0,1150.0,30000.0,870.0,51.0,0.03663,0.07326,10.0,0,450.0,473.0,1,1,2,1,0,0,0,0,0,0,1,250.0,250.0,72000.0,72000.0,420.0,0,0,0,7000.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1411.765,0.2174,0.757,3,0
armsnipe,Armada,Sharpshooter,ArmBots,weapon,BOT2,24000.0,680.0,20000.0,580.0,33.0,0.138,0.6486,14.0,22.0,455.0,1538.69995,1,1,2,1,0,0,0,0,0,0,1,250.0,250.0,900.0,900.0,16.0,0,0,0,3000.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,27.273,0.3676,0.853,2,0
armspid,Armada,Webber,ArmBots,emp,TBOT3,7000.0,250.0,5000.0,1110.0,71.55,0.207,0.6486,0,16.0,550.0,1290.29993,1,1,2,1,0,0,0,0,0,0,1,490.39,490.39,280.0,280.0,8.0,0,0,1,800.0,0.265,0,0,1,0,0,0,0,0,0,0,0,0,0,3.913,1.9616,4.44,0,0
armsptk,Armada,Recluse,ArmBots,weapon,TBOT3,11500.0,400.0,4500.0,1390.0,47.0,0.207,0.6486,0,12.0,440.0,1290.0,1,1,2,1,0,0,0,0,0,0,1,53.33,53.33,575.0,575.0,90.0,0,0,0,450.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,12.234,0.1333,3.475,1,1
armvader,Armada,Tumbleweed,ArmBots,explo,ABOTBOMB2,7900.0,65.0,5800.0,445.0,84.0,0.1518,0.5589,32.0,112.0,273.0,1771.0,1,1,2,0,1,0,0,0,0,0,2,10000.0,10000.0,42.0,1.0,5.0,0,1,0,100000.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5,153.8462,6.846,0,0
armwar,Armada,Centurion,ArmBots,weapon,BOT3,4200.0,270.0,3100.0,1590.0,45.0,0.0828,0.8211,17.0,12.0,350.0,885.5,1,1,1,1,0,0,0,0,0,0,1,183.33,183.33,330.0,330.0,8.0,0,0,0,950.0,0.164,0,0,1,0,0,0,0,0,0,0,0,0,0,7.333,0.679,5.889,0,0
armzeus,Armada,Welder,ArmBots,weapon,BOT3,9500.0,350.0,6100.0,2950.0,47.4,0.138,0.8625,15.0,23.0,331.5,1214.40002,1,1,2,1,0,0,0,0,0,0,1,12.94,12.94,280.0,280.0,8.0,0,0,0,400.0,0.273,0,0,0,0,0,0,0,0,0,0,0,0,1,5.907,0.037,8.429,0,1
armbanth,Armada,Titan,ArmGantry,weapon,HABOT5,360000.0,13500.0,286000.0,69000.0,45.6,0.11845,0.7521,17.0,12.0,617.0,1214.40002,1,1,3,0,1,0,0,0,0,0,4,800.0,1452.5,860.0,0.0,128.0,0,0,0,2000.0,0.275,1,1,1,1,0,1,0,0,0,0,0,0,0,18.86,0.0593,5.111,1,0
armlun,Armada,Lunkhead,ArmGantry,weapon,HHOVER4,40000.0,1150.0,23000.0,5300.0,50.1,0.01788,0.01788,16.0,0,620.0,250.0,1,1,3,0,0,0,0,1,0,0,2,205.56,318.06,575.0,400.0,160.0,0,1,0,300.0,0.105,0,1,0,0,0,0,1,0,0,0,0,0,0,11.477,0.1787,4.609,1,1
armmar,Armada,Marauder,ArmGantry,weapon,HABOT5,33000.0,970.0,21000.0,4900.0,94.5,0.253,0.8211,17.0,32.0,455.0,1214.40002,1,1,3,0,1,0,0,0,0,0,2,335.71,378.57,600.0,350.0,48.0,1,0,0,850.0,0.34,0,1,0,0,1,0,0,0,0,0,0,0,0,6.349,0.3461,5.052,1,0
armraz,Armada,Razorback,ArmGantry,weapon,HBOT4,120000.0,3800.0,68000.0,13300.0,69.0,0.2369,0.9039,15.0,22.0,450.0,600.0,1,1,3,1,0,0,0,0,0,0,1,183.16,183.16,475.0,475.0,32.0,0,0,0,920.0,0.19,0,0,1,0,0,0,0,0,0,0,0,0,0,6.884,0.0482,3.5,1,0
armthor,Armada,Thor,ArmGantry,emp,HTANK7,320000.0,9000.0,240000.0,56000.0,54.0,0.015,0.03,14.0,20.0,600.0,180.0,1,1,3,0,0,1,0,0,0,0,4,1200.0,2496.77,1050.0,350.0,196.0,0,0,1,800.0,0.0,1,0,2,0,0,1,0,0,0,0,0,0,1,19.444,0.1333,6.222,2,0
armvang,Armada,Vanguard,ArmGantry,weapon,HTBOT6,120000.0,3300.0,71000.0,8500.0,33.0,0.02645,0.345,17.0,0,625.0,265.64999,1,1,3,1,0,0,0,0,0,0,3,158.12,316.25,1450.0,1450.0,192.0,0,0,0,500.0,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0,43.939,0.0479,2.576,2,1
armah,Armada,Sweeper,ArmHovercraft,aa,HOVER3,3560.0,230.0,4500.0,1070.0,88.5,0.06585,0.06585,16.0,0,509.0,490.0,1,1,1,0,0,0,0,1,0,0,2,28.18,28.18,830.0,700.0,48.0,1,0,0,720.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,9.379,0.1225,4.652,1,0
armanac,Armada,Crocodile,ArmHovercraft,weapon,HOVER3,3000.0,270.0,2400.0,1530.0,69.99,0.05333,0.05333,16.0,0,509.0,525.0,1,1,1,0,0,0,0,1,0,0,1,70.0,70.0,370.0,370.0,32.0,0,0,0,260.0,0.296,0,1,0,0,0,0,0,0,0,0,0,0,0,5.286,0.2593,5.667,0,1
armmh,Armada,Possum,ArmHovercraft,weapon,HOVER3,3300.0,175.0,3000.0,530.0,63.9,0.04561,0.04561,16.0,0,509.0,470.0,1,1,1,0,0,0,0,1,0,0,1,50.0,50.0,710.0,710.0,64.0,0,0,0,600.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,11.111,0.2857,3.029,1,0
armsh,Armada,Seeker,ArmHovercraft,weapon,HOVER2,1700.0,85.0,1250.0,290.0,113.7,0.1105,0.1105,16.0,0,550.0,640.0,1,1,1,0,0,0,0,1,0,0,1,60.0,60.0,230.0,230.0,8.0,0,0,0,450.0,0.194,0,0,1,0,0,0,0,0,0,0,0,0,0,2.023,0.7059,3.412,0,1
armart,Armada,Shellshocker,ArmVehicles,weapon,TANK3,3000.0,135.0,2200.0,620.0,54.0,0.02727,0.05454,15.0,8.0,364.0,393.79999,1,1,1,0,0,1,0,0,0,0,1,42.33,42.33,710.0,710.0,75.0,0,0,0,600.0,0.11,1,1,0,0,0,0,0,0,0,0,0,0,0,13.148,0.3136,4.593,1,0
armbull,Armada,Bull,ArmVehicles,weapon,HTANK4,23000.0,950.0,13000.0,4650.0,62.0,0.03542,0.07083,12.0,15.0,494.0,365.0,1,1,2,0,0,1,0,0,0,0,1,245.45,245.45,460.0,460.0,130.0,0,0,0,300.0,0.111,0,1,0,0,0,0,0,0,0,0,0,0,0,7.419,0.2584,4.895,1,1
armcroc,Armada,Turtle,ArmVehicles,weapon,ATANK3,21000.0,750.0,15000.0,5000.0,54.0,0.03252,0.06504,12.0,255.0,500.0,360.0,1,1,2,0,0,0,1,0,0,0,2,140.62,175.92,765.0,480.0,64.0,1,0,0,800.0,0.343,0,1,0,0,1,0,0,0,0,0,0,0,0,14.167,0.1875,6.667,1,0
armfav,Armada,Rover,ArmVehicles,weapon,TANK2,950.0,31.0,370.0,105.0,168.0,0.16659,0.33318,26.0,12.0,635.0,653.0,1,1,1,0,0,1,0,0,0,0,1,35.0,35.0,180.0,180.0,8.0,0,0,0,800.0,0.057,0,0,1,0,0,0,0,0,0,0,0,0,0,1.071,1.129,3.387,0,0
armflash,Armada,Blitz,ArmVehicles,weapon,TANK2,1960.0,110.0,900.0,750.0,101.0,0.06788,0.13575,10.0,12.0,350.0,544.0,1,1,1,0,0,1,0,0,0,0,1,30.0,30.0,180.0,180.0,8.0,0,0,0,600.0,0.333,0,1,0,0,0,0,0,0,0,0,0,0,0,1.782,0.2727,6.818,0,0
armgremlin,Armada,Gremlin,ArmVehicles,weapon,TANK3,8500.0,230.0,3700.0,1060.0,70.5,0.0697,0.13939,12.0,0,494.0,701.79999,1,1,2,0,0,1,0,0,0,0,1,87.5,87.5,220.0,220.0,8.0,0,0,0,450.0,0.091,0,1,0,0,0,0,0,0,0,0,0,0,0,3.121,0.3804,4.609,0,1
armjanus,Armada,Janus,ArmVehicles,weapon,TANK3,3550.0,240.0,2600.0,1030.0,54.0,0.02111,0.04222,10.0,12.0,325.0,271.0,1,1,1,0,0,1,0,0,0,0,2,44.0,88.0,380.0,380.0,128.0,0,0,0,230.0,0.106,1,0,0,0,2,0,0,0,0,0,0,0,0,7.037,0.1833,4.292,0,1
armlatnk,Armada,Jaguar,ArmVehicles,weaponaa,TANK3,8000.0,330.0,6400.0,1060.0,90.0,0.05833,0.11666,10.0,12.0,390.0,440.0,1,1,2,0,0,1,0,0,0,0,2,42.86,57.52,600.0,300.0,48.0,1,0,0,850.0,0.745,0,0,0,0,1,0,0,0,0,0,0,0,1,6.667,0.1299,3.212,1,0
armmanni,Armada,Starlight,ArmVehicles,weapon,HTANK4,33000.0,1200.0,18500.0,2800.0,42.0,0.00715,0.01431,12.0,0,650.0,120.8,1,1,2,0,0,1,0,0,0,0,1,531.91,531.91,950.0,950.0,12.0,0,0,0,1500.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,22.619,0.4433,2.333,2,0
armmart,Armada,Mauser,ArmVehicles,weapon,TANK3,8500.0,320.0,4900.0,1070.0,60.0,0.033,0.066,12.0,0,286.0,270.0,1,1,2,0,0,1,0,0,0,0,1,85.25,85.25,820.0,820.0,120.0,0,0,0,355.0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,13.667,0.2664,3.344,1,1
armmerl,Armada,Ambassador,ArmVehicles,weapon,HTANK4,21000.0,920.0,6500.0,1220.0,33.0,0.02489,0.04978,16.0,12.0,247.0,520.29999,1,1,2,0,0,1,0,0,0,0,1,105.56,105.56,1300.0,1300.0,150.0,0,0,0,380.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,39.394,0.1147,1.326,2,1
armpincer,Armada,Pincer,ArmVehicles,weapon,ATANK3,2610.0,200.0,2000.0,1340.0,63.0,0.03572,0.07144,15.0,125.0,500.0,398.0,1,1,1,0,0,0,1,0,0,0,1,77.33,77.33,305.0,305.0,8.0,0,0,0,450.0,0.216,0,1,0,0,0,0,0,0,0,0,0,0,0,4.841,0.3866,6.7,0,1
armsam,Armada,Whistler,ArmVehicles,weaponaa,TANK3,3420.0,150.0,2100.0,820.0,55.0,0.0236,0.0472,16.0,12.0,620.0,370.0,1,1,1,0,0,1,0,0,0,0,2,25.8,26.1,700.0,550.0,48.0,1,0,0,670.0,1.839,0,0,0,0,2,0,0,0,0,0,0,0,0,12.727,0.172,5.467,1,0
armstump,Armada,Stout,ArmVehicles,weapon,TANK3,2900.0,225.0,2000.0,1780.0,75.9,0.0438,0.08759,10.0,12.0,325.0,340.0,1,1,1,0,0,1,0,0,0,0,1,83.14,83.14,350.0,350.0,48.0,0,0,0,225.0,0.186,0,1,0,0,0,0,0,0,0,0,0,0,0,4.611,0.3695,7.911,0,1
armyork,Armada,Shredder,ArmVehicles,aa,TANK3,13000.0,450.0,9100.0,2600.0,70.5,0.06111,0.12223,16.0,12.0,390.0,618.20001,1,1,2,0,0,1,0,0,0,0,2,272.73,272.73,775.0,775.0,140.0,1,0,0,1550.0,1.0,0,2,0,0,0,0,0,0,0,0,0,0,0,10.993,0.6061,5.778,1,0
coraak,Cortex,Manticore,CorBots,aa,ABOT3,11000.0,650.0,6200.0,3200.0,34.5,0.138,0.6486,0,0,390.0,1048.79993,1,1,2,0,1,0,0,0,0,0,2,156.25,210.8,1300.0,775.0,140.0,1,0,0,1550.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,37.681,0.2404,4.923,2,0
corak,Cortex,Grunt,CorBots,weapon,BOT2,1250.0,42.0,820.0,280.0,81.0,0.4,0.7,17.0,25.0,500.0,1200.0,1,1,1,1,0,0,0,0,0,0,1,74.0,74.0,215.0,215.0,8.0,0,0,0,1000.0,0.189,0,0,1,0,0,0,0,0,0,0,0,0,0,2.654,1.7619,6.667,0,0
coramph,Cortex,Duck,CorBots,weaponsub,ABOT3,12500.0,330.0,9500.0,2350.0,55.5,0.1035,0.6486,14.0,0,400.0,1147.69995,1,1,2,0,1,0,0,0,0,0,2,132.35,174.02,400.0,300.0,16.0,0,1,0,700.0,0.193,0,0,1,0,0,0,1,0,0,0,0,0,0,7.207,0.4011,7.121,1,0
corcan,Cortex,Sumo,CorBots,weapon,BOT2,15000.0,560.0,9300.0,5940.0,37.5,0.138,0.6486,14.0,21.0,350.0,1115.5,1,1,2,1,0,0,0,0,0,0,2,343.75,343.75,275.0,275.0,8.0,0,0,0,700.0,0.091,0,1,1,0,0,0,0,0,0,0,0,0,0,7.333,0.6138,10.607,0,0
corcrash,Cortex,Trasher,CorBots,aa,ABOT3,1900.0,125.0,1100.0,640.0,53.49,0.138,0.6486,15.0,0,379.60001,1278.79993,1,1,1,0,1,0,0,0,0,0,2,55.0,55.0,800.0,760.0,48.0,1,0,0,850.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,14.956,0.44,5.12,1,0
corhrk,Cortex,Arbiter,CorBots,weapon,BOT3,9500.0,600.0,5800.0,610.0,54.0,0.1265,0.6486,14.0,21.0,370.5,1268.44995,1,1,2,1,0,0,0,0,0,0,1,100.0,100.0,1210.0,1210.0,70.0,0,0,0,800.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,22.407,0.1667,1.017,2,0
cormort,Cortex,Sheldon,CorBots,weapon,BOT2,7000.0,400.0,2800.0,940.0,50.4,0.1518,0.77625,14.0,12.0,300.0,1263.84998,1,1,2,1,0,0,0,0,0,0,1,65.62,65.62,850.0,850.0,36.0,0,0,0,450.0,0.133,0,1,0,0,0,0,0,0,0,0,0,0,0,16.865,0.1641,2.35,1,1
corpyro,Cortex,Fiend,CorBots,weapon,BOT2,6500.0,200.0,3000.0,1060.0,82.5,0.5175,2.2425,17.0,25.0,318.0,1316.75,1,1,2,1,0,0,0,0,0,0,1,15.0,15.0,230.0,230.0,48.0,0,0,0,265.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.788,0.075,5.3,0,1
corroach,Cortex,Bedbug,CorBots,explo,ABOTBOMB2,7900.0,69.0,5800.0,620.0,76.0,0.138,0.5175,32.0,112.0,260.0,1733.04993,1,1,2,0,1,0,0,0,0,0,2,10000.0,10000.0,42.0,1.0,5.0,0,1,0,100000.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.553,144.9275,8.986,0,0
corsktl,Cortex,Skuttle,CorBots,explo,ABOTBOMB2,23000.0,755.0,27000.0,355.0,84.0,0.138,0.6486,255.0,30.0,260.0,1290.29993,1,1,2,0,1,0,0,0,0,0,2,10000.0,10000.0,42.0,1.0,5.0,0,1,0,100000.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5,13.245,0.47,0,0
corstorm,Cortex,Aggravator,CorBots,weapon,BOT2,1950.0,110.0,1150.0,740.0,47.7,0.1242,0.6486,14.0,21.0,344.5,1268.44995,1,1,1,1,0,0,0,0,0,0,1,41.32,41.32,475.0,475.0,48.0,0,0,0,190.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.958,0.3756,6.727,1,1
corsumo,Cortex,Mammoth,CorBots,weapon,HBOT4,65000.0,2200.0,35000.0,15600.0,22.5,0.0552,0.43125,15.0,23.0,510.0,368.0,1,1,2,1,0,0,0,0,0,0,2,503.33,503.33,650.0,650.0,12.0,0,0,0,1000.0,0.235,0,1,1,0,0,0,0,0,0,0,0,0,0,28.889,0.2288,7.091,1,0
cortermite,Cortex,Termite,CorBots,weapon,TBOT3,17000.0,540.0,8100.0,3100.0,50.0,0.19665,0.60375,50.0,30.0,380.0,1214.40002,1,1,2,1,0,0,0,0,0,0,1,331.25,331.25,340.0,340.0,42.0,0,0,0,700.0,0.208,0,0,1,0,0,0,0,0,0,0,0,0,0,6.8,0.6134,5.741,0,0
corthud,Cortex,Thug,CorBots,weapon,BOT3,2100.0,140.0,1150.0,1100.0,45.0,0.12995,0.77625,14.0,12.0,380.0,1263.84998,1,1,1,1,0,0,0,0,0,0,1,60.0,60.0,380.0,380.0,36.0,0,0,0,286.0,0.202,0,1,0,0,0,0,0,0,0,0,0,0,0,8.444,0.4286,7.857,0,1
corcat,Cortex,Catapult,CorGantry,weapon,HBOT4,160000.0,4900.0,80000.0,6100.0,48.0,0.1242,0.6486,20.0,12.0,700.0,525.84998,1,1,3,1,0,0,0,0,0,0,1,30.0,30.0,1350.0,1350.0,96.0,0,0,0,530.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,28.125,0.0061,1.245,2,1
cordemon,Cortex,Demon,CorGantry,weapon,HBOT4,160000.0,6000.0,90000.0,18000.0,63.0,0.2208,1.0,160.0,12.0,500.0,607.20001,1,1,3,1,0,0,0,0,0,0,2,166.67,286.68,700.0,500.0,128.0,1,0,0,820.0,0.872,0,0,0,0,1,0,0,0,0,1,0,0,0,11.111,0.0278,3.0,1,0
corjugg,Cortex,Behemoth,CorGantry,weapon,HBOT7,780000.0,20000.0,513000.0,335000.0,16.5,0.0552,0.43125,14.0,12.0,720.0,125.35,1,1,3,1,0,0,0,0,0,0,5,321.43,1121.43,590.0,0.0,172.0,0,0,0,2250.0,0.0,0,1,3,0,0,0,0,0,0,0,1,0,0,35.758,0.0161,16.75,1,0
corkarg,Cortex,Karganeth,CorGantry,weapon,HTBOT6,94000.0,2500.0,57000.0,12500.0,45.0,0.1104,0.8211,160.0,12.0,455.0,400.0,1,1,3,1,0,0,0,0,0,0,2,600.0,766.67,700.0,600.0,64.0,1,0,0,820.0,0.326,0,0,0,0,2,0,0,0,0,0,0,0,0,15.556,0.24,5.0,1,0
corkorg,Cortex,Juggernaut,CorGantry,weapon,VBOT6,730000.0,29000.0,615000.0,149000.0,37.0,0.1242,0.8211,17.0,12.0,845.0,437.0,1,1,3,1,0,0,0,0,0,0,8,1375.0,3126.19,950.0,0.0,200.0,0,0,0,2600.0,0.22,1,6,1,0,0,1,0,0,0,0,0,0,0,25.676,0.0474,5.138,2,0
corshiva,Cortex,Shiva,CorGantry,weapon,HABOT5,40000.0,1550.0,23000.0,9400.0,48.3,0.069,0.8211,36.0,32.0,520.0,708.39996,1,1,3,0,1,0,0,0,0,0,2,300.0,407.14,800.0,650.0,176.0,0,0,0,800.0,0.068,1,1,0,0,0,1,0,0,0,0,0,0,0,16.563,0.1935,6.065,1,0
corsok,Cortex,Cataphract,CorGantry,weapon,HHOVER4,34000.0,950.0,19000.0,4200.0,45.3,0.01731,0.01731,16.0,0,650.0,290.0,1,1,3,0,0,0,0,1,0,0,2,166.67,279.17,725.0,400.0,24.0,0,1,0,1673.0,0.199,0,0,0,1,0,0,1,0,0,0,0,0,0,16.004,0.1754,4.421,1,0
corah,Cortex,Birdeater,CorHovercraft,aa,HOVER3,3650.0,250.0,4700.0,1120.0,88.5,0.06316,0.06316,16.0,0,509.0,470.0,1,1,1,0,0,0,0,1,0,0,2,28.18,28.18,800.0,700.0,48.0,1,0,0,670.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,9.04,0.1127,4.48,1,0
corhal,Cortex,Halberd,CorHovercraft,weapon,HOVER3,12900.0,640.0,13000.0,4350.0,45.3,0.02428,0.02428,16.0,0,450.0,410.0,1,1,1,0,0,0,0,1,0,0,1,343.75,343.75,300.0,300.0,8.0,0,0,0,700.0,0.091,0,0,1,0,0,0,0,0,0,0,0,0,0,6.623,0.5371,6.797,0,0
cormh,Cortex,Mangonel,CorHovercraft,weapon,HOVER3,3500.0,200.0,3300.0,550.0,63.9,0.04415,0.04415,16.0,0,509.0,455.0,1,1,1,0,0,0,0,1,0,0,1,61.11,61.11,700.0,700.0,80.0,0,0,0,480.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,10.955,0.3055,2.75,1,1
corsh,Cortex,Goon,CorHovercraft,weapon,HOVER2,1500.0,75.0,1500.0,255.0,109.5,0.10226,0.10226,16.0,0,550.0,615.0,1,1,1,0,0,0,0,1,0,0,1,60.0,60.0,230.0,230.0,8.0,0,0,0,450.0,0.194,0,0,1,0,0,0,0,0,0,0,0,0,0,2.1,0.8,3.4,0,1
corsnap,Cortex,Cayman,CorHovercraft,weapon,HOVER3,3500.0,300.0,3100.0,1720.0,66.99,0.04624,0.04624,16.0,0,491.0,500.0,1,1,1,0,0,0,0,1,0,0,1,70.0,70.0,370.0,370.0,32.0,0,0,0,260.0,0.296,0,1,0,0,0,0,0,0,0,0,0,0,0,5.523,0.2333,5.733,0,1
corban,Cortex,Banisher,CorVehicles,weapon,HTANK4,30000.0,1000.0,23000.0,2500.0,54.0,0.02,0.04537,20.0,20.0,650.0,250.0,1,1,2,0,0,1,0,0,0,0,1,133.33,133.33,800.0,800.0,128.0,0,0,0,720.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,14.815,0.1333,2.5,1,0
corfav,Cortex,Rascal,CorVehicles,weapon,TANK2,1150.0,26.0,270.0,90.0,153.0,0.2,0.4,26.0,12.0,600.0,750.0,1,1,1,0,0,1,0,0,0,0,1,31.82,31.82,180.0,180.0,8.0,0,0,0,800.0,0.057,0,0,1,0,0,0,0,0,0,0,0,0,0,1.176,1.2238,3.462,0,0
corgarp,Cortex,Garpike,CorVehicles,weapon,ATANK3,3100.0,220.0,2600.0,1420.0,58.5,0.03226,0.06453,12.0,200.0,500.0,387.0,1,1,1,0,0,0,1,0,0,0,1,77.33,77.33,305.0,305.0,8.0,0,0,0,450.0,0.216,0,1,0,0,0,0,0,0,0,0,0,0,0,5.214,0.3515,6.455,0,1
corgator,Cortex,Incisor,CorVehicles,weapon,TANK2,2300.0,120.0,1100.0,820.0,85.0,0.04631,0.09262,10.0,12.0,330.0,427.0,1,1,1,0,0,1,0,0,0,0,1,93.75,93.75,230.0,230.0,8.0,0,0,0,1000.0,0.187,0,0,1,0,0,0,0,0,0,0,0,0,0,2.706,0.7812,6.833,0,0
corgol,Cortex,Tzar,CorVehicles,weapon,HTANK4,40000.0,1650.0,28000.0,7800.0,39.0,0.01018,0.02037,12.0,12.0,395.0,176.0,1,1,2,0,0,1,0,0,0,0,1,257.14,257.14,650.0,650.0,292.0,0,0,0,310.0,0.061,0,1,0,0,0,0,0,0,0,0,0,0,0,16.667,0.1558,4.727,1,1
